Timestamp,Age Range,Gender Identity,Education level ,Employment Status,How important to you are your security practices for different purposes of your internet usage?  [Entertainment],How important to you are your security practices for different purposes of your internet usage?  [Social],How important to you are your security practices for different purposes of your internet usage?  [Games],How important to you are your security practices for different purposes of your internet usage?  [Banking],How important to you are your security practices for different purposes of your internet usage?  [Shopping],How important to you are your security practices for different purposes of your internet usage?  [Education ],How important to you are your security practices for different purposes of your internet usage?  [Information ],How important to you are your security practices for different purposes of your internet usage?  [Email],"On a scale from 1 to 10, rate your awareness of security practices:",Please rate your familiarity with various security practices: [Use a strong password],Please rate your familiarity with various security practices: [Log off public computers],Please rate your familiarity with various security practices: [Back up important information],Please rate your familiarity with various security practices: [Protect your personal data],"Please rate your familiarity with various security practices: [Avoid pop-ups, unknown emails, and links]",Please rate your familiarity with various security practices: [Connect to secure Wi-Fi],Please rate your familiarity with various security topics: [Ransomware],Please rate your familiarity with various security topics: [Credential Stuffing],Please rate your familiarity with various security topics: [Social engineering],Please rate your familiarity with various security topics: [Phishing],Please rate your familiarity with various security topics: [Man-in-the-middle attack],"If you were offered an online free course about cybersecurity and privacy, would you be interested in joining the course?","If you would be interested in joining a course about cybersecurity and privacy, how much time are you willing to allocate during a day?",Do you use the same password for most of your accounts?,Do you share some of your passwords with your friends or family members? ,"If the bank calls you and asks for your password as verification, would you give it to them?","If you got an email to update your log in information via a link, would you click the link?",Would you pay to retrieve your data if you are the victim of a ransomware attack? 
4/6/2022 9:30:37,21 - 29,Woman,Graduate degree,"Not employed, looking for work",Important,Slightly,Slightly,Important,Important,Important,Important,Important,7,Mostly,Somewhat,Somewhat,Mostly,Mostly,Somewhat,Somewhat,Mostly,Somewhat,Somewhat,Completely,Maybe,More than 1 hour a day,No,No,No,No,Maybe
4/6/2022 10:29:19,50 or older,Man,Bachelor degree,Employed,Fairly,Fairly,Not at all,Very,Not at all,Slightly,Very,Very,6,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,No,Yes,Yes,Yes
4/6/2022 10:30:27,21 - 29,Woman,Bachelor degree,Employed,No Opinion,Very,No Opinion,Very,Fairly,Important,Very,Very,10,Completely,Somewhat,Completely,Completely,Completely,Completely,Somewhat,Somewhat,Completely,Completely,Completely,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,No
4/6/2022 10:36:09,21 - 29,Prefer not to respond,Bachelor degree,"Not employed, looking for work",Important,Important,Fairly,Important,Important,Important,Important,Important,9,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,No
4/6/2022 10:43:56,30 - 49,Woman,Bachelor degree,Employed,Important,Fairly,Fairly,Fairly,Fairly,Important,Important,Fairly,7,Mostly,Mostly,Somewhat,Somewhat,Mostly,Mostly,Mostly,Completely,Mostly,Somewhat,Somewhat,Yes,More than 1 hour a day,Yes,No,No,No,No
4/6/2022 10:45:22,21 - 29,Man,Some college but no degree,"Not employed, looking for work",Slightly,Very,Slightly,Very,Fairly,Very,Fairly,Very,6,Completely,Completely,Mostly,Mostly,Mostly,Mostly,A Little Bit,A Little Bit,Mostly,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 10:45:55,30 - 49,Woman,Bachelor degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,9,Mostly,Completely,Completely,Completely,Somewhat,Mostly,A Little Bit,A Little Bit,Somewhat,Mostly,Somewhat,Yes,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 10:47:26,30 - 49,Woman,Bachelor degree,Employed,Very,Very,No Opinion,Very,Very,Very,Very,Very,7,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Yes,Between 30 minutes and 1 hour a day,Yes,No,No,No,No
4/6/2022 10:47:44,21 - 29,Man,Graduate degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,9,Completely,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Yes,Less than 10 minutes a day,Yes,No,No,No,Maybe
4/6/2022 10:48:40,30 - 49,Woman,Graduate degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,8,Somewhat,Completely,Mostly,Completely,Completely,Mostly,A Little Bit,A Little Bit,A Little Bit,Mostly,Mostly,Maybe,Between 10 and 30 minutes a day,Yes,Yes,No,Yes,Maybe
4/6/2022 10:49:39,30 - 49,Woman,Bachelor degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,5,Somewhat,Somewhat,Completely,Completely,Completely,Completely,Somewhat,Somewhat,Mostly,A Little Bit,Completely,Maybe,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 10:54:12,30 - 49,Woman,Graduate degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,9,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Mostly,Completely,Completely,Completely,Maybe,Between 30 minutes and 1 hour a day,No,No,No,No,Maybe
4/6/2022 10:54:17,30 - 49,Woman,Graduate degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,9,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Maybe,Between 30 minutes and 1 hour a day,No,No,No,No,Maybe
4/6/2022 11:01:33,30 - 49,Woman,Bachelor degree,Employed,Slightly,Important,Slightly,Important,Slightly,Important,Important,Important,8,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Yes,Between 10 and 30 minutes a day,Yes,No,No,No,Maybe
4/6/2022 11:03:48,30 - 49,Woman,Graduate degree,"Not employed, looking for work",Important,Slightly,Important,Important,Important,Important,Slightly,Slightly,5,Completely,Completely,Mostly,Mostly,Mostly,Completely,A Little Bit,A Little Bit,A Little Bit,Mostly,A Little Bit,Yes,Between 10 and 30 minutes a day,Yes,No,No,No,No
4/6/2022 11:04:14,30 - 49,Man,Graduate degree,Employed,Important,Important,Slightly,Important,Important,Important,Important,Important,10,Completely,Completely,Mostly,Mostly,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Yes,Between 30 minutes and 1 hour a day,Yes,No,No,No,No
4/6/2022 11:04:37,21 - 29,Man,Bachelor degree,Employed,Slightly,Important,Slightly,Very,Slightly,Important,Important,Fairly,9,Mostly,Completely,Mostly,Mostly,Completely,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Maybe,Between 10 and 30 minutes a day,Yes,Yes,No,No,No
4/6/2022 11:07:06,30 - 49,Woman,Graduate degree,Employed,Slightly,Slightly,Not at all,Slightly,Slightly,Slightly,Slightly,Slightly,6,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,No,,Yes,No,No,No,Maybe
4/6/2022 11:11:47,21 - 29,Woman,Bachelor degree,Employed,Very,Very,Not at all,Very,Very,Very,Very,Very,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,Maybe
4/6/2022 11:12:15,21 - 29,Woman,Bachelor degree,Employed,Important,Important,Important,Slightly,Very,Slightly,Not at all,Important,7,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Yes,Between 10 and 30 minutes a day,Yes,No,Yes,Yes,Yes
4/6/2022 11:12:19,30 - 49,Woman,Graduate degree,Employed,Very,Very,No Opinion,Very,Very,Fairly,Very,Very,9,Completely,Completely,Completely,Completely,Completely,Completely,A Little Bit,Completely,A Little Bit,Completely,Completely,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,No
4/6/2022 11:21:22,30 - 49,Woman,Bachelor degree,"Not employed, NOT looking for work",Slightly,Important,Slightly,Important,Important,Important,Important,Important,6,Mostly,Completely,Mostly,Completely,Completely,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,No,,Yes,No,No,No,No
4/6/2022 11:22:28,21 - 29,Woman,Bachelor degree,Employed,Slightly,Slightly,Slightly,Important,Important,Important,Important,Important,7,Mostly,Completely,Somewhat,Mostly,Mostly,Somewhat,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,Yes,No,No,Maybe
4/6/2022 11:28:48,30 - 49,Woman,Graduate degree,Employed,Not at all,Important,Slightly,Very,Fairly,Important,Important,Important,5,Mostly,Completely,Somewhat,Mostly,Mostly,Mostly,A Little Bit,A Little Bit,Somewhat,Mostly,Mostly,Maybe,Less than 10 minutes a day,Yes,No,No,No,No
4/6/2022 11:29:31,21 - 29,Woman,Bachelor degree,Employed,Important,Important,Slightly,Very,Very,Important,Very,Very,9,Mostly,Completely,Mostly,Completely,Completely,Completely,A Little Bit,Somewhat,Completely,A Little Bit,Completely,Maybe,Between 10 and 30 minutes a day,No,No,No,No,No
4/6/2022 11:30:44,30 - 49,Woman,Bachelor degree,Employed,Slightly,Important,Not at all,Important,Important,Slightly,Important,Important,9,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Maybe,Less than 10 minutes a day,Yes,No,No,No,Maybe
4/6/2022 11:31:58,30 - 49,Woman,Graduate degree,Employed,Fairly,Very,Fairly,Important,Important,Important,Fairly,Important,6,Completely,Somewhat,Mostly,Mostly,Completely,Completely,Somewhat,Somewhat,Mostly,Mostly,Mostly,Maybe,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 11:38:12,30 - 49,Woman,High school degree or equivalent,Employed,Slightly,Very,Not at all,Fairly,Very,Very,Very,Very,8,Mostly,Completely,Completely,Completely,Completely,Mostly,A Little Bit,A Little Bit,Mostly,Mostly,Mostly,Yes,Between 10 and 30 minutes a day,No,No,No,No,No
4/6/2022 11:42:22,30 - 49,Woman,Bachelor degree,Employed,Slightly,Slightly,Important,Important,Slightly,Slightly,Slightly,Important,8,Completely,Completely,Mostly,Mostly,Completely,Completely,Completely,A Little Bit,Completely,Completely,Completely,Yes,Between 10 and 30 minutes a day,No,Yes,No,No,No
4/6/2022 11:44:14,30 - 49,Woman,Bachelor degree,"Not employed, NOT looking for work",Important,Important,Important,Important,Important,Important,Important,Important,7,Mostly,Completely,Completely,Completely,Completely,Completely,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Yes,Between 30 minutes and 1 hour a day,Yes,No,No,No,No
4/6/2022 11:45:37,30 - 49,Woman,Graduate degree,Employed,Not at all,Not at all,Not at all,Fairly,Important,Not at all,Not at all,Not at all,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,No,,Yes,Yes,No,No,No
4/6/2022 11:48:01,30 - 49,Woman,Graduate degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,8,Completely,Completely,Mostly,Mostly,Completely,Mostly,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Yes,Between 10 and 30 minutes a day,No,No,No,No,No
4/6/2022 11:48:31,30 - 49,Woman,Graduate degree,"Not employed, looking for work",Fairly,Important,Important,Very,Very,Fairly,Very,Very,9,Completely,Mostly,Completely,Completely,Completely,Completely,Somewhat,Mostly,Mostly,A Little Bit,Mostly,Yes,Between 10 and 30 minutes a day,Yes,No,No,No,Maybe
4/6/2022 11:49:47,30 - 49,Woman,Bachelor degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,7,Mostly,Completely,Somewhat,Completely,Mostly,Mostly,A Little Bit,Somewhat,Mostly,Mostly,Mostly,Maybe,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 11:50:20,30 - 49,Woman,Graduate degree,Employed,Important,Important,Slightly,Important,Important,Slightly,Important,Important,8,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Mostly,Mostly,Completely,Completely,Maybe,Less than 10 minutes a day,Yes,Yes,Yes,Yes,Yes
4/6/2022 11:51:14,21 - 29,Woman,Bachelor degree,"Not employed, NOT looking for work",Not at all,Fairly,Important,Very,Very,Important,Important,Very,7,Completely,Completely,Completely,Completely,Completely,Completely,A Little Bit,A Little Bit,A Little Bit,Completely,Completely,No,,Yes,Yes,No,Yes,Maybe
4/6/2022 11:51:54,30 - 49,Woman,Graduate degree,"Not employed, looking for work",Fairly,Very,Fairly,Very,Very,Very,Very,Very,7,Completely,Completely,Completely,Completely,Mostly,Completely,A Little Bit,A Little Bit,A Little Bit,Mostly,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,No
4/6/2022 11:55:58,30 - 49,Woman,Bachelor degree,Employed,Important,Important,Fairly,Very,Very,Very,Very,Very,8,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Yes,Less than 10 minutes a day,Yes,Yes,No,No,Maybe
4/6/2022 12:01:03,30 - 49,Woman,Graduate degree,Employed,Fairly,Fairly,Fairly,Fairly,Fairly,Fairly,Fairly,Fairly,7,Somewhat,Completely,Somewhat,Somewhat,Completely,Mostly,Somewhat,Somewhat,Somewhat,Completely,Completely,Yes,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 12:01:37,30 - 49,Woman,Bachelor degree,"Not employed, looking for work",Slightly,Slightly,Not at all,Not at all,Slightly,Slightly,Slightly,Slightly,6,Mostly,Completely,Mostly,Mostly,Completely,Mostly,Mostly,Mostly,Completely,Mostly,Mostly,Yes,Between 10 and 30 minutes a day,Yes,No,No,Yes,Maybe
4/6/2022 12:03:25,30 - 49,Woman,Graduate degree,Employed,No Opinion,Fairly,No Opinion,Very,Very,No Opinion,No Opinion,Very,9,Completely,Completely,Completely,Mostly,Mostly,Completely,Completely,Completely,Completely,Completely,Completely,Maybe,Between 10 and 30 minutes a day,No,No,No,No,No
